matricula_aluno,nome_aluno,codigo_instituicao,nome_instituicao,sexo_aluno,id_curso,nome_curso,turno_curso,turma_aluno,periodo_inicial_aluno,codigo_departamento,nome_departamento
20221ENPRO0243,,,Campus Cariacica,M,,Engenharia de Produção,Integral,,2022/1,,
20241ECON0275,,,Campus Cariacica,M,,Bacharelado em Ciências Econômicas,Noturno,,2024/1,,
20231BAFIS0023,,,Campus Cariacica,M,,Bacharelado em Física,Integral,,2023/1,,
20241ENPRO0531,,,Campus Cariacica,M,,Engenharia de Produção,Integral,,2024/1,,
20231FISIC0057,,,Campus Cariacica,M,,Licenciatura em Física,Integral,,2023/1,,
20221FISIC0300,,,Campus Cariacica,F,,Licenciatura em Física,Integral,,2022/1,,
20251ENPRO0148,,,Campus Cariacica,F,,Engenharia de Produção,Integral,20251.ENPRO.1,2025/1,,
20251ENPRO0032,,,Campus Cariacica,M,,Engenharia de Produção,Integral,20251.ENPRO.1,2025/1,,
20251BAFIS0060,,,Campus Cariacica,M,,Bacharelado em Física,Integral,,2025/1,,
20241ECON0283,,,Campus Cariacica,M,,Bacharelado em Ciências Econômicas,Noturno,,2024/1,,
20251ENPRO0075,,,Campus Cariacica,M,,Engenharia de Produção,Integral,20251.ENPRO.1,2025/1,,
20221ENPRO0316,,,Campus Cariacica,F,,Engenharia de Produção,Integral,,2022/1,,
20251ECON0460,,,Campus Cariacica,F,,Bacharelado em Ciências Econômicas,Noturno,20251.ECON.1N,2025/1,,
20211ENPRO0262,,,Campus Cariacica,F,,Engenharia de Produção,Integral,,2021/1,,
20211ENPRO0246,,,Campus Cariacica,F,,Engenharia de Produção,Integral,,2021/1,,
20241BAFIS0039,,,Campus Cariacica,F,,Bacharelado em Física,Integral,,2024/1,,
20251ECON0095,,,Campus Cariacica,F,,Bacharelado em Ciências Econômicas,Noturno,20251.ECON.1N,2025/1,,
20241ENPRO0434,,,Campus Cariacica,F,,Engenharia de Produção,Integral,,2024/1,,
20201FISIC0057,,,Campus Cariacica,F,,Licenciatura em Física,Integral,,2020/1,,
20251ENPRO0270,,,Campus Cariacica,M,,Engenharia de Produção,Integral,20251.ENPRO.1,2025/1,,
20251ENPRO0482,,,Campus Cariacica,M,,Engenharia de Produção,Integral,20251.ENPRO.1,2025/1,,
20211ENPRO0173,,,Campus Cariacica,M,,Engenharia de Produção,Integral,,2021/1,,
20241ECON0291,,,Campus Cariacica,M,,Bacharelado em Ciências Econômicas,Noturno,,2024/1,,
